Date,Salt
1905-02-15,33.89843
1905-03-15,33.8256
1905-04-15,33.679066
1905-05-15,33.48791
1905-06-15,33.635216
1905-07-15,33.193302
1905-08-15,32.412724
1905-09-15,31.630531
1905-10-15,32.578228
1905-11-15,33.82329
1905-12-15,33.955875
1906-01-15,33.665348
1906-02-15,33.654217
1906-03-15,33.592842
1906-04-15,33.457893
1906-05-15,33.34825
1906-06-15,33.394238
1906-07-15,33.531155
1906-08-15,33.31873
1906-09-15,33.30994
1906-10-15,33.030605
1906-11-15,33.726242
1906-12-15,33.730026
1907-01-15,33.993855
1907-02-15,34.080223
1907-03-15,34.17409
1907-04-15,34.102592
1907-05-15,33.844315
1907-06-15,34.022408
1907-07-15,33.872242
1907-08-15,33.8336
1907-09-15,33.638542
1907-10-15,33.666615
1907-11-15,33.760326
1907-12-15,33.744274
1908-01-15,33.942055
1908-02-15,33.797737
1908-03-15,33.855663
1908-04-15,33.880318
1908-05-15,33.61743
1908-06-15,33.4589
1908-07-15,33.865757
1908-08-15,33.20238
1908-09-15,33.30708
1908-10-15,33.166164
1908-11-15,33.74305
1908-12-15,33.87411
1909-01-15,33.914852
1909-02-15,33.90738
1909-03-15,33.944126
1909-04-15,32.66968
1909-05-15,33.369164
1909-06-15,33.482788
1909-07-15,33.554825
1909-08-15,33.300137
1909-09-15,32.776703
1909-10-15,32.5749
1909-11-15,33.153084
1909-12-15,33.687542
1910-01-15,33.72005
1910-02-15,33.953068
1910-03-15,34.28807
1910-04-15,34.26562
1910-05-15,33.83374
1910-06-15,33.84968
1910-07-15,33.521942
1910-08-15,33.310642
1910-09-15,33.2571
1910-10-15,32.781998
1910-11-15,33.296974
1910-12-15,33.78255
1911-01-15,34.178497
1911-02-15,33.74217
1911-03-15,33.80299
1911-04-15,33.481472
1911-05-15,33.29165
1911-06-15,33.33564
1911-07-15,33.417103
1911-08-15,32.799534
1911-09-15,32.532547
1911-10-15,32.06986
1911-11-15,32.333385
1911-12-15,32.80278
1912-01-15,32.069344
1912-02-15,33.123955
1912-03-15,33.65334
1912-04-15,33.468327
1912-05-15,33.205456
1912-06-15,33.32085
1912-07-15,33.467297
1912-08-15,33.460365
1912-09-15,33.14668
1912-10-15,33.329803
1912-11-15,33.46888
1912-12-15,33.68466
1913-01-15,34.07239
1913-02-15,34.011826
1913-03-15,33.949802
1913-04-15,33.94013
1913-05-15,33.341133
1913-06-15,33.948383
1913-07-15,33.80445
1913-08-15,33.537167
1913-09-15,32.603733
1913-10-15,32.0265
1913-11-15,32.62935
1913-12-15,33.510674
1914-01-15,33.664124
1914-02-15,33.08932
1914-03-15,32.49897
1914-04-15,33.113163
1914-05-15,33.674744
1914-06-15,33.732895
1914-07-15,33.660385
1914-08-15,33.51968
1914-09-15,32.91587
1914-10-15,32.53725
1914-11-15,33.398552
1914-12-15,33.390373
1915-01-15,33.49768
1915-02-15,33.589146
1915-03-15,33.53697
1915-04-15,33.04768
1915-05-15,33.369934
1915-06-15,33.20237
1915-07-15,33.135826
1915-08-15,33.16798
1915-09-15,32.790237
1915-10-15,33.041725
1915-11-15,33.620197
1915-12-15,33.456547
1916-01-15,33.63431
1916-02-15,33.873985
1916-03-15,33.984367
1916-04-15,34.1263
1916-05-15,33.75843
1916-06-15,33.524124
1916-07-15,33.53481
1916-08-15,33.662266
1916-09-15,33.58536
1916-10-15,33.41364
1916-11-15,33.435925
1916-12-15,33.655323
1917-01-15,33.780365
1917-02-15,34.07798
1917-03-15,33.863674
1917-04-15,33.80065
1917-05-15,33.458443
1917-06-15,33.67379
1917-07-15,33.434776
1917-08-15,33.267616
1917-09-15,33.158966
1917-10-15,31.993095
1917-11-15,32.812054
1917-12-15,33.061775
1918-01-15,33.450222
1918-02-15,33.601818
1918-03-15,33.76487
1918-04-15,33.845303
1918-05-15,33.671547
1918-06-15,33.626717
1918-07-15,33.961212
1918-08-15,33.54003
1918-09-15,33.052002
1918-10-15,32.056595
1918-11-15,33.04209
1918-12-15,32.665546
1919-01-15,32.528366
1919-02-15,32.57207
1919-03-15,33.400993
1919-04-15,33.56785
1919-05-15,33.418396
1919-06-15,33.490795
1919-07-15,33.51169
1919-08-15,33.30876
1919-09-15,32.866177
1919-10-15,32.40714
1919-11-15,33.178135
1919-12-15,33.536087
1920-01-15,33.716915
1920-02-15,33.04115
1920-03-15,32.525314
1920-04-15,33.112934
1920-05-15,33.26429
1920-06-15,33.557396
1920-07-15,33.409225
1920-08-15,33.412907
1920-09-15,32.84358
1920-10-15,33.23361
1920-11-15,33.27508
1920-12-15,33.380295
1921-01-15,32.697994
1921-02-15,32.76375
1921-03-15,33.705727
1921-04-15,33.866566
1921-05-15,33.758984
1921-06-15,33.870075
1921-07-15,33.870853
1921-08-15,33.53059
1921-09-15,33.36008
1921-10-15,32.83092
1921-11-15,33.378582
1921-12-15,33.672733
1922-01-15,33.658173
1922-02-15,33.57955
1922-03-15,33.86574
1922-04-15,33.91492
1922-05-15,33.46407
1922-06-15,33.06919
1922-07-15,33.728977
1922-08-15,33.437523
1922-09-15,32.039177
1922-10-15,31.759474
1922-11-15,32.611008
1922-12-15,32.885693
1923-01-15,33.375103
1923-02-15,33.37541
1923-03-15,33.559353
1923-04-15,33.61815
1923-05-15,33.673668
1923-06-15,33.671345
1923-07-15,33.821625
1923-08-15,33.635334
1923-09-15,33.573357
1923-10-15,33.184067
1923-11-15,33.19762
1923-12-15,33.51476
1924-01-15,33.07398
1924-02-15,33.19367
1924-03-15,33.625595
1924-04-15,33.683567
1924-05-15,33.80035
1924-06-15,33.36247
1924-07-15,33.54476
1924-08-15,33.427
1924-09-15,33.139362
1924-10-15,32.3666
1924-11-15,32.817818
1924-12-15,33.16137
1925-01-15,34.10006
1925-02-15,33.77796
1925-03-15,33.964333
1925-04-15,34.03634
1925-05-15,33.863686
1925-06-15,33.768703
1925-07-15,33.729713
1925-08-15,33.457287
1925-09-15,33.204082
1925-10-15,33.162266
1925-11-15,33.4215
1925-12-15,33.25744
1926-01-15,33.609936
1926-02-15,32.130226
1926-03-15,31.935715
1926-04-15,32.588715
1926-05-15,33.457886
1926-06-15,33.465015
1926-07-15,33.594128
1926-08-15,33.519756
1926-09-15,33.432858
1926-10-15,33.276966
1926-11-15,33.63549
1926-12-15,33.59798
1927-01-15,33.32865
1927-02-15,33.49893
1927-03-15,33.58855
1927-04-15,33.648876
1927-05-15,33.643753
1927-06-15,33.455338
1927-07-15,33.242455
1927-08-15,32.949265
1927-09-15,32.298824
1927-10-15,32.343945
1927-11-15,33.31367
1927-12-15,33.255882
1928-01-15,33.265324
1928-02-15,33.320827
1928-03-15,33.51298
1928-04-15,33.990284
1928-05-15,33.752335
1928-06-15,33.548546
1928-07-15,33.606525
1928-08-15,33.097923
1928-09-15,31.60832
1928-10-15,31.402033
1928-11-15,33.404972
1928-12-15,33.25343
1929-01-15,33.204597
1929-02-15,33.193645
1929-03-15,33.51615
1929-04-15,33.620846
1929-05-15,33.289413
1929-06-15,33.63654
1929-07-15,33.603348
1929-08-15,33.35387
1929-09-15,31.32563
1929-10-15,31.857315
1929-11-15,32.70771
1929-12-15,33.438583
1930-01-15,32.87645
1930-02-15,32.036358
1930-03-15,32.56566
1930-04-15,33.100403
1930-05-15,33.397778
1930-06-15,33.31328
1930-07-15,33.307453
1930-08-15,32.653687
1930-09-15,31.652756
1930-10-15,31.471508
1930-11-15,32.376274
1930-12-15,33.110916
1931-01-15,33.032036
1931-02-15,33.393654
1931-03-15,33.918007
1931-04-15,33.73742
1931-05-15,33.5899
1931-06-15,33.357574
1931-07-15,33.189518
1931-08-15,33.177742
1931-09-15,33.004883
1931-10-15,32.4969
1931-11-15,32.909122
1931-12-15,33.2319
1932-01-15,33.35004
1932-02-15,33.553493
1932-03-15,33.66335
1932-04-15,33.53878
1932-05-15,33.713024
1932-06-15,33.43293
1932-07-15,33.409546
1932-08-15,33.43984
1932-09-15,33.157703
1932-10-15,33.25926
1932-11-15,33.15266
1932-12-15,33.32992
1933-01-15,33.60891
1933-02-15,32.070393
1933-03-15,32.403866
1933-04-15,33.16967
1933-05-15,33.12028
1933-06-15,32.945084
1933-07-15,32.93202
1933-08-15,33.26506
1933-09-15,31.77496
1933-10-15,31.392694
1933-11-15,32.291492
1933-12-15,32.807827
1934-01-15,33.484066
1934-02-15,33.715454
1934-03-15,33.64614
1934-04-15,33.43788
1934-05-15,33.40856
1934-06-15,33.229107
1934-07-15,33.3424
1934-08-15,33.312546
1934-09-15,32.591854
1934-10-15,32.317684
1934-11-15,32.48221
1934-12-15,33.446423
1935-01-15,33.851814
1935-02-15,33.464397
1935-03-15,33.297558
1935-04-15,33.444115
1935-05-15,33.815502
1935-06-15,33.668625
1935-07-15,33.512672
1935-08-15,32.95566
1935-09-15,31.36466
1935-10-15,31.455753
1935-11-15,32.445477
1935-12-15,33.323902
1936-01-15,33.511436
1936-02-15,34.06248
1936-03-15,33.632336
1936-04-15,33.23391
1936-05-15,33.545746
1936-06-15,33.580296
1936-07-15,33.76359
1936-08-15,33.69217
1936-09-15,32.326683
1936-10-15,31.350563
1936-11-15,32.770847
1936-12-15,33.71508
1937-01-15,33.225895
1937-02-15,33.11512
1937-03-15,33.590603
1937-04-15,33.569633
1937-05-15,33.465
1937-06-15,33.437546
1937-07-15,33.51702
1937-08-15,33.207687
1937-09-15,31.964645
1937-10-15,32.185387
1937-11-15,32.87612
1937-12-15,33.364388
1938-01-15,33.609066
1938-02-15,33.589424
1938-03-15,33.610947
1938-04-15,33.359005
1938-05-15,32.995316
1938-06-15,33.522255
1938-07-15,33.563335
1938-08-15,32.4613
1938-09-15,31.639751
1938-10-15,32.412598
1938-11-15,32.80535
1938-12-15,33.20682
1939-01-15,33.768826
1939-02-15,33.556705
1939-03-15,33.25905
1939-04-15,33.71397
1939-05-15,33.436607
1939-06-15,33.21585
1939-07-15,33.502544
1939-08-15,32.94411
1939-09-15,32.13774
